dx,dy,dt,d,targetX,targetY
19,8,18,925.1189112757344,933,151
10,5,15,934.4757888784492,933,151
7,4,17,937.5953284866558,933,151
2,4,17,942.5338190218959,933,151
0,2,13,944.8227346968318,933,151
-2,2,20,946.7977608761017,933,151
-3,1,18,947.9430362632556,933,151
-3,2,14,947.7853132434581,933,151
-2,0,16,947.1145654037847,933,151
-1,0,17,946.1273698609506,933,151
-2,0,20,947.1145654037847,933,151
0,0,14,945.1402012400065,933,151
-1,0,16,946.1273698609506,933,151
0,0,20,945.1402012400065,933,151
-1,0,14,946.1273698609506,933,151
-2,0,323,578.5637389259717,158,556
-5,4,11,575.5632024374039,158,556
-13,8,15,574.0601013831217,158,556
-20,9,20,575.2329962719455,158,556
-51,24,15,571.5811403466703,158,556
-93,38,17,575.6083738098326,158,556
-85,31,15,578.5101554856233,158,556
-118,49,19,577.2564421468157,158,556
-87,39,17,572.1136250780959,158,556
-36,19,15,570.9684754870448,158,556
-92,54,18,560.8065620158167,158,556
-29,20,17,567.6838909111302,158,556
-30,21,17,567.0705423490097,158,556
-16,13,16,570.1973342624464,158,556
-18,12,17,571.7621883265804,158,556
-12,11,14,570.8984147814741,158,556
-10,8,16,573.1736211655243,158,556
-6,6,18,573.9303093582007,158,556
-5,4,16,575.5632024374039,158,556
-4,4,17,575.2808010006939,158,556
-6,5,16,574.8886848773421,158,556
-4,3,18,576.2404012215735,158,556
-4,5,15,574.3213386249896,158,556
-6,4,21,575.8472019555187,158,556
-2,2,14,576.6420033261538,158,556
-6,5,19,574.8886848773421,158,556
-1,1,14,577.3265973433062,158,556
-5,3,17,576.5223326116691,158,556
-3,2,18,576.9202717880522,158,556
-3,1,16,577.8806105070493,158,556
-1,0,17,578.2879905375868,158,556
-1,0,15,578.2879905375868,158,556
-1,0,18,578.2879905375868,158,556
0,0,16,578.013840664737,158,556
1,0,174,1099.6931390165166,1070,258
3,-1,8,1097.9845171950285,1070,258
17,-10,20,1086.5693719224741,1070,258
28,-18,15,1077.9332075782804,1070,258
45,-26,18,1063.6169423246322,1070,258
52,-28,16,1057.4119348673912,1070,258
33,-16,17,1072.5879917284176,1070,258
38,-16,15,1067.7546534667972,1070,258
18,-8,19,1085.1082895269026,1070,258
26,-11,13,1078.0987895364692,1070,258
28,-11,21,1076.1621625015441,1070,258
21,-6,15,1081.7102199757567,1070,258
84,-26,17,1026.0857663957727,1070,258
88,-17,17,1019.77889760477,1070,258
121,-13,16,986.9356615301729,1070,258
135,-1,15,970.2092557793911,1070,258
119,1,19,985.1142065770852,1070,258
42,4,16,1058.9145385724005,1070,258
62,2,17,1040,1070,258
25,0,16,1076.3777218058724,1070,258
17,-4,17,1085.1050640375797,1070,258
7,-7,17,1095.533659911917,1070,258
2,-8,16,1100.627093978701,1070,258
0,-14,18,1104.0307966719045,1070,258
-7,-14,16,1110.816366462072,1070,258
-8,-13,14,1111.5417221139294,1070,258
-8,-13,19,1111.5417221139294,1070,258
-7,-10,17,1109.8436826868908,1070,258
-2,-3,16,1103.3154580626522,1070,258
-7,-6,18,1108.8845746965733,1070,258
-3,-1,14,1103.8161078730461,1070,258
-11,-2,18,1111.827774432713,1070,258
-8,0,17,1108.4439543792912,1070,258
-8,0,17,1108.4439543792912,1070,258
-8,0,16,1108.4439543792912,1070,258
-5,0,17,1105.52657136769,1070,258
-5,0,15,1105.52657136769,1070,258
-5,0,19,1105.52657136769,1070,258
-2,0,17,1102.6096317373615,1070,258
-2,-1,16,1102.8440506254726,1070,258
-2,0,14,1102.6096317373615,1070,258
-1,0,20,1101.637417665177,1070,258
0,0,14,1100.6652533808815,1070,258
-1,-1,2,1101.872043387979,1070,258
0,0,227,1054.0270395013592,997,342
-3,0,8,1056.8651758857418,997,342
-3,0,16,1056.8651758857418,997,342
-11,2,15,1063.7969731109408,997,342
-45,17,17,1091.5076729001955,997,342
-16,7,15,1066.955481732954,997,342
-25,14,19,1073.3443063621291,997,342
-12,8,16,1062.843826721499,997,342
-9,7,16,1060.3117466104013,997,342
-2,2,15,1055.2729504730044,997,342
-2,8,18,1053.3551158085293,997,342
